Domain,Country,Element,Item,Year,Unit,Value,Flag Description
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1970,tonnes,529800,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1971,tonnes,704800,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1972,tonnes,828800,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1973,tonnes,709400,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1974,tonnes,761365,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1975,tonnes,844365,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1976,tonnes,806080,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1977,tonnes,1202965,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1978,tonnes,1381330,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1979,tonnes,1303085,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1980,tonnes,1351835,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1981,tonnes,1179610,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1982,tonnes,1188880,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1983,tonnes,1292340,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1984,tonnes,1413135,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1985,tonnes,1460365,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1986,tonnes,1336935,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1987,tonnes,1175280,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1988,tonnes,1428535,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1989,tonnes,1632235,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1990,tonnes,1530320,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1991,tonnes,2265990,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1992,tonnes,3159005,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1993,tonnes,3929945,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1994,tonnes,4282125,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1995,tonnes,4312620,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1996,tonnes,4645555,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1997,tonnes,4589063,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1998,tonnes,5836763,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1999,tonnes,6644423,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2000,tonnes,7113355,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2001,tonnes,7394851,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2002,tonnes,7973349,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2003,tonnes,8831974,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2004,tonnes,9695737,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2005,tonnes,9756381,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2006,tonnes,9777223,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2007,tonnes,10081345,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2008,tonnes,10299985,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2009,tonnes,10772075,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2010,tonnes,11338890,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2011,tonnes,11823615,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2012,tonnes,13089700,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,2013,tonnes,13089700,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1961,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1962,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1963,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1964,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1965,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1966,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1967,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,Aquatic Plants,1968,tonnes,0,Standardized data
