Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1970,1970,1000 No,35700000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1971,1971,1000 No,36900000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1972,1972,1000 No,37200000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1973,1973,1000 No,37500000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1974,1974,1000 No,39100000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1975,1975,1000 No,39600000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1976,1976,1000 No,41100000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1977,1977,1000 No,42890000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1978,1978,1000 No,43500000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1979,1979,1000 No,46100000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1980,1980,1000 No,47660000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1981,1981,1000 No,49360000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1982,1982,1000 No,52760000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1983,1983,1000 No,55380000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1984,1984,1000 No,70470000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1985,1985,1000 No,87300000,F,FAO estimate
