AreaName,Year,Stock_largeAni,Stock_cattle,Stock_horse,Stock_donkey,Stock_mule,Stock_camel,Out_hog,Stock_hog,Stock_gt_shp,Stock_goat,Stock_sheep,Out_cattle,Out_gt_shp,Out_poultry,MeatYield,MeatYield_hg_ct_gt_shp,MeatYield_hog,MeatYield_cattle,MeatYield_gt_shp,MilkYield,MilkYield_cattle,WoolYield_sheep,WoolYield_sheep_fine,WoolYield_sheep_semi,WoolYield_goat_thick,WoolYield_goat_cashmere,EggYield,HoneyYield
Hubei,1999,433.1,429.9,1.9,1.0,0.3,0.0,2604.2,2121.0,166.2,165.0,1.2,99.95,164.75,29496.04,265.8,225.3,209.8,13.1,2.5,4.0,3.9,60.0,29.0,31.0,62.0,0.0,105.5,1.1
Hunan,1999,498.5,493.9,4.2,0.2,0.1,0.0,5385.3,3422.4,349.5,349.1,0.3,118.8,354.16,27967.54,426.1,383.3,364.9,13.0,5.4,1.0,1.0,4.0,0.0,0.0,16.0,0.0,49.6,0.5
Guangdong,1999,416.8,416.8,0.1,0.0,0.0,0.0,2919.9,2019.1,30.7,30.7,0.0,41.53,28.12,88302.27,315.9,209.5,204.4,4.5,0.6,8.1,7.8,0.0,0.0,0.0,4.0,0.0,33.3,1.2
Guangxi,1999,808.8,770.7,35.7,0.1,2.3,0.0,2547.0,2309.6,241.1,241.1,0.0,99.88,150.93,33159.35,262.9,213.7,202.5,8.9,2.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,14.0,0.5
Hainan,1999,138.4,138.4,0.0,0.0,0.0,0.0,258.3,282.6,91.1,91.1,0.0,21.18,54.8,5912.2,33.8,24.2,21.4,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0
Chongqing,1999,163.9,160.6,2.1,0.2,1.1,0.0,1703.2,1512.2,149.6,149.4,0.2,36.31,151.26,9452.27,140.5,126.4,120.6,4.0,1.8,4.7,4.7,8.0,8.0,0.0,0.0,0.0,26.3,0.4
Sichuan,1999,1055.2,972.1,69.4,6.8,7.0,0.0,5622.5,4732.8,1199.0,800.7,398.3,187.93,837.93,51097.67,523.4,439.8,405.2,21.4,13.2,26.9,26.6,3963.0,327.0,1412.0,428.0,41.0,89.4,2.3
Guizhou,1999,714.4,642.8,69.7,0.1,1.7,0.0,1106.0,1641.0,330.1,310.1,20.0,46.96,152.97,2601.76,117.1,109.7,99.5,6.4,3.8,1.5,1.5,268.0,31.0,224.0,4.0,0.0,6.1,0.2
Yunnan,1999,1000.4,818.7,87.9,32.3,61.5,0.0,1944.9,2459.4,836.4,717.4,119.0,124.14,311.15,7343.84,192.1,180.4,162.2,12.6,5.6,13.5,12.2,1707.0,281.0,1025.0,152.0,2.0,9.7,0.7
Tibet,1999,579.3,527.6,37.7,12.8,1.2,0.0,13.0,22.3,1688.7,584.2,1104.5,77.49,439.16,0.0,14.7,14.7,0.7,8.3,5.7,20.9,16.7,7936.0,120.0,2619.0,1452.0,638.0,0.3,0.0
Shaanxi,1999,292.9,246.7,1.8,31.2,13.2,0.0,792.5,793.2,582.8,456.6,126.2,57.15,410.17,4640.17,85.8,76.9,64.2,6.7,6.0,55.7,32.3,3412.0,1909.0,326.0,1047.0,700.0,39.9,0.3
Gansu,1999,548.9,332.7,24.7,122.8,66.6,2.1,547.0,565.0,1126.5,280.2,846.3,72.97,436.82,2187.04,57.7,53.1,39.1,7.2,6.9,13.8,13.4,14532.0,4891.0,2627.0,1356.0,337.0,10.3,0.2
Qinghai,1999,431.4,378.2,35.1,7.2,9.1,1.8,114.2,109.2,1639.5,267.0,1372.5,73.1,423.31,195.53,20.1,19.7,7.0,6.1,6.7,19.6,19.0,14980.0,336.0,4277.0,613.0,281.0,1.3,0.0
Ningxia,1999,88.9,55.5,1.1,20.6,11.6,0.1,127.9,122.1,376.7,125.5,251.2,20.11,145.72,1587.5,17.1,14.3,8.8,3.0,2.5,20.5,20.5,4313.0,178.0,502.0,601.0,311.0,7.1,0.1
Xinjiang,1999,615.9,370.5,101.5,125.0,2.8,16.2,203.9,188.3,3592.3,555.2,3037.1,145.95,1820.71,4104.14,80.4,69.3,15.1,20.6,33.6,70.4,64.8,64969.0,28947.0,8147.0,2608.0,848.65,16.7,0.2
