Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1969,1969,tonnes,197160,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1970,1970,tonnes,207900,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1971,1971,tonnes,221775,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1972,1972,tonnes,231750,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1973,1973,tonnes,233700,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1974,1974,tonnes,251550,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1975,1975,tonnes,266325,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1976,1976,tonnes,285000,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1977,1977,tonnes,293850,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1978,1978,tonnes,307350,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1979,1979,tonnes,320100,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1980,1980,tonnes,302850,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1981,1981,tonnes,352650,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1982,1982,tonnes,383250,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1983,1983,tonnes,433500,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1984,1984,tonnes,485400,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1985,1985,tonnes,487800,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1986,1986,tonnes,516000,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1987,1987,tonnes,563250,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1988,1988,tonnes,594000,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1989,1989,tonnes,620550,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1990,1990,tonnes,660750,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1991,1991,tonnes,669750,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1992,1992,tonnes,686250,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1993,1993,tonnes,728850,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1994,1994,tonnes,815250,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1995,1995,tonnes,756000,S,Standardized data
