Domain,Country,Element,Item,Year,Unit,Value,Flag Description
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1965,g/capita/day,0.04,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1966,g/capita/day,0.05,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1967,g/capita/day,0.05,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1968,g/capita/day,0.05,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1969,g/capita/day,0.06,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1970,g/capita/day,0.05,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1971,g/capita/day,0.06,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1972,g/capita/day,0.07,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1973,g/capita/day,0.06,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1974,g/capita/day,0.06,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1975,g/capita/day,0.07,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1976,g/capita/day,0.06,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1977,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1978,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1979,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1980,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1981,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1982,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1983,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1984,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1985,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1986,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1987,g/capita/day,0.08,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1988,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1989,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1990,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1991,g/capita/day,0.14,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1992,g/capita/day,0.2,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1993,g/capita/day,0.24,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1994,g/capita/day,0.26,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1995,g/capita/day,0.26,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1996,g/capita/day,0.28,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1997,g/capita/day,0.27,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1998,g/capita/day,0.34,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,1999,g/capita/day,0.39,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2000,g/capita/day,0.41,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2001,g/capita/day,0.43,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2002,g/capita/day,0.46,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2003,g/capita/day,0.51,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2004,g/capita/day,0.55,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2005,g/capita/day,0.55,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2006,g/capita/day,0.55,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2007,g/capita/day,0.56,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2008,g/capita/day,0.57,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2009,g/capita/day,0.6,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2010,g/capita/day,0.63,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2011,g/capita/day,0.65,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2012,g/capita/day,0.71,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Aquatic Plants,2013,g/capita/day,0.7,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1961,10000 tonnes,5.95,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1962,10000 tonnes,8.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1963,10000 tonnes,10.7,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1964,10000 tonnes,12.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1965,10000 tonnes,13.4,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1966,10000 tonnes,14.6,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1967,10000 tonnes,15.25,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1968,10000 tonnes,15.3,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1969,10000 tonnes,15.8,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1970,10000 tonnes,15.8,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1971,10000 tonnes,17.447619,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1972,10000 tonnes,18.685714,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1973,10000 tonnes,20.652381,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1974,10000 tonnes,21.719048,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1975,10000 tonnes,22.619048,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1976,10000 tonnes,22.004762,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1977,10000 tonnes,23.019048,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1978,10000 tonnes,23.033333,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1979,10000 tonnes,26.390476,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1980,10000 tonnes,28.619048,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1981,10000 tonnes,29.133333,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1982,10000 tonnes,29.220190000000002,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1983,10000 tonnes,32.414286,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1984,10000 tonnes,37.809428999999994,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1985,10000 tonnes,41.244952000000005,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1986,10000 tonnes,54.106381000000006,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1987,10000 tonnes,73.49732900000001,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Bovine Meat,1988,10000 tonnes,82.130271,Standardized data
