Area,Year,"Stock, cattle","Stock, goat & sheep","Stock, pig","Stock, birds","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, pig","Slaughtered, birds","Meat Production, cattle","Meat Production, goat & sheep","Meat Production, pig","Meat Production, birds","Egg Production, birds","Milk Production, cow","Meat Yield, cattle","Meat Yield, goat & sheep","Meat Yield, pig","Meat Yield, birds","Aquatic, total","Aquatic, animals","Marine, total","Marine, caught","Marine, farmed",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, caught","Freshwater, farmed",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
Hebei,2012,403.107135,1413.48594,1847.496,,340.33,2071.5,3396.7,57935.9,55.3,28.7,259.0,,342.555696,470.367785,,,,,116.3172,116.3172,63.4631,25.256999999999998,38.2061,14.1882,8.1978,36.0885,0.0,4.9886,52.8541,9.7593,43.0948,48.4141,3.3498,0.3786,0.7116
Shanxi,2012,91.9548,833.9877,473.7582,,33.88,427.01,723.8517,6999.12,4.887,5.93295,56.3238,,74.692,79.9712,,,,,4.1243,4.1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1243,0.1122,4.0121,4.0654,0.0,0.0,0.0
Neimenggu,2012,624.9825,5144.05125,693.7788,,316.3,5390.27,940.3989,11887.42,51.17217,88.62568,73.9381,,54.46324,910.202,,,,,13.1575,13.1575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1575,3.1133,10.0442,12.8836,0.0774,0.0,0.1965
Liaoning,2012,367.1168,721.8,1592.6,,286.87,719.7,2728.5,76678.3,43.2,7.88627,230.1921,,279.8966,124.749,,,,,478.6268,446.0683,389.3291,125.7664,263.5627,89.3345,23.3528,219.1447,32.5585,24.9386,89.2977,5.1561,84.1416,79.7752,8.3503,0.0,1.1573
Jilin,2012,431.35714,393.914893,1001.15136,,296.4,324.28,1625.262894,41234.3,44.95722,4.085394,132.72512,,100.24508,49.1,,,,,18.21,18.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.21,2.0126,16.1974,18.0529,0.1284,0.0,0.0
Heilongjiang,2012,519.84762,898.3124707000003,1381.61262,,255.98,740.92,1765.157464,20276.99,39.6896137,12.10571792,128.3562,,108.153738,559.9386436000002,,,,,45.284,45.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.284,5.1946,40.0894,44.7524,0.4914,0.0,0.0
Shanghai,2012,6.98,25.61,178.75,,0.02,42.98,257.24,3650.38,0.0074,0.5668,18.7376,,5.9,30.18,,,,,29.7132,29.7132,13.0585,13.0585,0.0,12.087,0.9474,0.0,0.0,0.0,16.6547,0.4443,16.2104,10.1602,6.3937,0.0,0.0835
Jiangsu,2012,32.0619,400.6113116,1775.165822,,18.82,687.96,3043.1245,88575.92,3.4726,7.61,228.84,,197.201356,61.298,,,,,493.7399,491.3203,148.4814,57.9855,90.4959,42.1816,22.2103,76.0418,2.4196,5.6281,345.2585,33.4217,311.8368,253.8039,75.265,12.225,3.9646
Zhejiang,2012,17.7,107.18,1338.33492,,8.48,103.35,1934.41,25151.23,1.15,1.67,139.71,,48.14,19.27,,,,,539.5806,534.625,431.2434,345.10699999999997,86.1364,243.5663,94.1175,69.9891,4.9556,18.6149,108.3372,9.9603,98.3769,70.2484,15.6052,4.1209,18.3627
Anhui,2012,151.8538824,592.1916,1555.2029289999994,,121.97,1016.16,2927.619655,70926.25,18.12698514,14.5906026,249.67006580000003,,122.6454525,24.08676569,,,,,207.4938,207.4938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.4938,32.3494,175.1444,163.952,30.8606,8.656,4.0252
